Size of Matrix,Total Waiting Time
50, 35031173
100, 4391692
150, 32270900
200, 15057971
250, 33437585
300, 103948845
350, 80584677
400, 57499702
450, 129741908
500, 46333217
50, 71603685
100, 21864477
150, 42043061
200, 84960543
250, 62356028
300, 16541834
350, 61278536
400, 110437739
450, 49781560
500, 101509264
50, 21823184
100, 48181663
150, 32938809
200, 30365954
250, 67949476
300, 57731264
350, 121998576
400, 54906241
450, 89769887
500, 36221302
50, 53762059
100, 13404384
150, 39758637
200, 28218080
250, 69919903
300, 61393513
350, 107974000
400, 78492619
450, 65748425
500, 85153154
50, 13714246
100, 16069540
150, 28486759
200, 43180198
250, 43384920
300, 62666101
350, 55234977
400, 71395809
450, 79265913
500, 110826128
50, 46891657
100, 58051580
150, 34738097
200, 39262963
250, 38674609
300, 53531829
350, 74605313
400, 62982409
450, 86733616
500, 135432032
50, 15062413
100, 47274466
150, 39965585
200, 78172401
250, 76603316
300, 95502015
350, 90517883
400, 59182592
450, 108158591
500, 151719826
50, 70265854
100, 34823826
150, 45407367
200, 14775026
250, 51369788
300, 58741095
350, 37043481
400, 44536261
450, 133578059
500, 65005081
