Number of thread,Nanoseconds
0,88866258.3
1,56038416.5
2,41603137.7
3,33516166.7
4,25908420.9
5,24293391.8
6,22629033.2
7,21733391.6
8,22455850.2
9,20288941.5
10,19135016.5
11,20015587.5
12,18647245.8
13,18505258.5
14,18055374.9
15,18196529.2
16,18915875.0
17,19727654.2
18,18672699.9
19,17897200.0
