Number of thread,Nanoseconds
0,1236982.44
1,870067.52
2,767998.38
3,626747.44
4,526904.14
5,572538.32
6,534509.12
7,500449.96
8,527538.34
9,523902.52
10,551278.3
11,607904.22
12,561462.46
13,535368.38
14,538030.8
15,535049.02
16,554713.28
17,572297.6
18,571199.3
19,635202.5
