Size of Matrix,Total Waiting Time
50, 30788937
100, 32746191
150, 34749480
200, 26641867
250, 53512981
300, 51776666
350, 158479335
400, 68648115
450, 83057179
500, 112015983
50, 21486065
100, 34794910
150, 49410629
200, 45718001
250, 73547782
300, 68430505
350, 59874432
400, 49588008
450, 119569813
500, 84170929
50, 42261518
100, 31832620
150, 50220461
200, 51275665
250, 70225424
300, 121229021
350, 71163931
400, 90842789
450, 102285741
500, 73772884
50, 51281201
100, 34051604
150, 34209808
200, 55903024
250, 50668776
300, 70885036
350, 68934719
400, 51050749
450, 56940778
500, 80465990
50, 51249825
100, 35304151
150, 43759307
200, 86871950
250, 56099135
300, 48786607
350, 79851895
400, 68801064
450, 58501330
500, 90465647
