Matrix Size,Total Turnaround Time
50, 61796507
100, 59039747
150, 113715241
200, 131661443
250, 257792022
300, 313588502
350, 567958446
400, 647598885
450, 822662664
500, 1236060680
50, 53445148
100, 71464978
150, 132653839
200, 280168570
250, 310013513
300, 356245575
350, 535974800
400, 556486448
450, 889873962
500, 1061932025
50, 55961404
100, 60062147
150, 122960619
200, 163698049
250, 253003487
300, 350257737
350, 438712171
400, 642776326
450, 913339141
500, 1116189205
50, 111620504
100, 202618000
150, 219939716
200, 242781524
250, 395955625
300, 591036241
350, 488032970
400, 573418387
450, 845997114
500, 1056792822
50, 25738151
100, 62587984
150, 83237130
200, 185696210
250, 223009499
300, 307084592
350, 427677788
400, 607328040
450, 811207446
500, 1141502958
50, 102561844
100, 49225900
150, 111982158
200, 172117219
250, 206534835
300, 347152149
350, 506980706
400, 624756929
450, 771043132
500, 1217781176
50, 116794853
100, 75618814
150, 83944366
200, 141482833
250, 223871863
300, 416528740
350, 516782305
400, 606121199
450, 862568088
500, 1044059132
50, 81609532
100, 61466002
150, 110986866
200, 154386350
250, 251171111
300, 355487544
350, 635631131
400, 709508794
450, 837528328
500, 1131908803
50, 57256051
100, 175213976
150, 132840762
200, 157814548
250, 208998275
300, 444794817
350, 629528240
400, 695416689
450, 832593755
500, 1201165037
