Number of thread,Nanoseconds
0,3384848.38
1,1746765.02
2,1250440.98
3,1023515.04
4,964319.14
5,971612.5
6,931774.1
7,968591.68
8,944023.38
9,916466.68
10,865329.24
11,991925.8
12,877711.66
13,872020.84
14,892576.68
15,859791.74
16,849553.24
17,893942.6
18,812332.38
19,858797.5
20,890554.92
21,906162.5
22,899085.88
23,881436.7
24,874437.48
25,845355.9
26,849725.04
27,852073.36
28,871523.32
29,870575.06
30,866019.28
31,895120.9
32,907474.08
33,880483.34
34,894993.44
35,881329.1
36,863226.7
37,885833.26
38,897109.22
39,881136.72
