Size of Matrix,Total Waiting Time
50, 4960060
100, 29818126
150, 28211811
200, 48594203
250, 60079137
300, 76905715
350, 44917140
400, 64810688
450, 88153090
500, 94189156
50, 9798969
100, 17592521
150, 106165410
200, 64798315
250, 50267368
300, 89646121
350, 52693797
400, 44006994
450, 105601756
500, 81960568
50, 36785672
100, 31028413
150, 36770314
200, 61634084
250, 70385010
300, 134761002
350, 42077532
400, 29415574
450, 152373993
500, 105997176
50, 27249696
100, 23628121
150, 49774334
200, 71339070
250, 32415122
300, 106075955
350, 83948247
400, 21468303
450, 69829760
500, 78746087
50, 51341775
100, 26390751
150, 35074384
200, 100404522
250, 36140978
300, 36118530
350, 80716126
400, 122538912
450, 41207845
500, 70805776
