Number of thread,Nanoseconds
0,2183298054.1
1,1090321158.4
2,727982825.0
3,545873004.2
4,437667295.6
5,365751966.7
6,321720495.8
7,308383824.9
8,298484945.7
9,284953304.1
10,283394595.7
11,277503062.5
12,280454704.2
13,279724262.4
14,281527229.3
15,279751266.7
16,279531187.6
17,283474916.7
18,272244212.4
19,277753158.3
20,277783579.0
21,272546179.3
22,273410475.1
23,273249666.6
24,272770891.9
25,271069254.1
26,270822379.2
27,275540516.7
28,273642933.4
29,273765570.9
30,275180725.1
31,272867512.6
32,270224916.5
33,272000095.9
34,275951695.9
35,270938254.1
36,271174829.3
37,268626983.5
38,271680278.9
39,271023271.0
