Matrix Size,Total Turnaround Time
50, 59744938
100, 39615577
150, 74174867
200, 60864933
250, 127537959
300, 72336837
350, 126618047
400, 149794490
450, 137634939
500, 179485828
50, 56999528
100, 66853219
150, 109113604
200, 126140513
250, 142777801
300, 66437960
350, 182245476
400, 102858057
450, 142213139
500, 144455421
50, 58654795
100, 66921445
150, 77581751
200, 91373232
250, 90191191
300, 132960324
350, 178494870
400, 192496631
450, 222564726
500, 153314251
50, 112828656
100, 98951877
150, 116774496
200, 72514064
250, 109961366
300, 94578335
350, 182822430
400, 173235718
450, 121299133
500, 145818232
50, 51369730
100, 28355164
150, 40305703
200, 126428789
250, 189391491
300, 62827913
350, 77469336
400, 124728715
450, 324619583
500, 192018105
50, 88854165
100, 39284152
150, 51224751
200, 105529214
250, 78368183
300, 200654339
350, 136470359
400, 164269063
450, 239715112
500, 148920066
50, 59989631
100, 84237844
150, 103622069
200, 96738825
250, 82324233
300, 120292341
350, 240583810
400, 136269955
450, 141221598
500, 274360761
