Matrix Size,Total Turnaround Time
50, 37617735
100, 67103033
150, 51640642
200, 138266524
250, 87230666
300, 54590571
350, 111358264
400, 185975743
450, 144667732
500, 179310000
50, 93975632
100, 31193149
150, 84127586
200, 79889280
250, 86201132
300, 125507886
350, 100914676
400, 134443265
450, 99568409
500, 239542754
50, 111004852
100, 54110619
150, 53232235
200, 65759402
250, 59352919
300, 95225067
350, 171602006
400, 163082986
450, 121625357
500, 197271252
50, 67085826
100, 53658418
150, 83894633
200, 114195426
250, 128386261
300, 99587747
350, 110272178
400, 193590004
450, 169063193
500, 268843970
50, 61639221
100, 162740470
150, 119415786
200, 65569049
250, 87860818
300, 97791546
350, 167115704
400, 108852253
450, 176621358
500, 129856181
